user_id,age,gender,weight,height,water,steps,exercise,sleep,fitness_level,goal,true_level,gender_encoded,goal_encoded
1,64,female,57.4,168,1.56,9446,43,6.1,2,consistency,1,0,0
2,27,male,76.2,158,3.58,19959,51,8.0,3,habits,3,1,1
3,84,female,78.3,162,2.79,12789,39,8.7,2,consistency,2,0,0
4,73,other,64.6,158,2.22,13030,34,5.1,2,consistency,2,2,0
5,33,male,61.3,164,2.95,3987,49,6.8,1,consistency,1,1,0
6,95,female,57.5,155,1.14,12242,84,7.9,2,performance,2,0,2
7,99,other,75.7,193,1.87,23865,71,7.5,5,habits,3,2,1
8,87,male,57.9,190,1.28,25551,73,6.4,5,habits,3,1,1
9,87,female,103.6,148,1.71,9439,50,6.7,2,consistency,1,0,0
10,36,female,63.8,140,2.51,19299,35,7.6,3,habits,2,0,1
11,15,female,40.0,181,2.87,28272,69,7.2,5,habits,3,0,1
12,34,female,69.5,158,2.1,3459,39,7.1,1,habits,1,0,1
13,65,female,68.9,172,1.61,19112,56,7.4,4,habits,2,0,1
14,14,female,86.7,173,3.36,22881,97,7.0,5,habits,3,0,1
15,42,female,74.3,155,2.17,7674,20,7.9,1,habits,1,0,1
16,50,female,57.5,183,2.51,5808,53,6.6,1,consistency,1,0,0
17,14,female,65.7,179,1.48,24208,102,6.5,5,consistency,3,0,0
18,76,female,74.9,194,2.62,23401,65,9.5,3,consistency,3,0,0
19,72,male,40.0,157,1.17,7068,37,7.0,1,consistency,1,1,0
20,33,male,90.1,173,1.92,11438,53,4.6,2,habits,2,1,1
21,45,male,57.5,164,2.57,12124,43,8.5,2,habits,2,1,1
22,88,male,91.3,184,2.46,26831,29,8.6,3,habits,3,1,1
23,70,male,75.9,145,1.8,26343,45,7.8,3,performance,3,1,2
24,34,female,79.4,160,2.8,28617,79,8.1,5,consistency,3,0,0
25,61,male,87.2,197,1.13,14096,35,9.4,2,habits,2,1,1
26,71,female,78.6,145,3.21,24745,53,6.3,3,habits,3,0,1
27,54,male,80.1,171,2.26,20327,67,7.4,3,performance,3,1,2
28,72,female,67.5,180,2.98,12913,52,9.2,2,consistency,2,0,0
29,92,other,75.6,187,1.63,4556,55,9.3,1,performance,1,2,2
30,27,male,61.2,182,2.43,29155,84,7.1,5,habits,3,1,1
31,74,female,64.8,178,2.07,22137,75,9.4,4,habits,3,0,1
32,74,male,99.5,170,2.81,8871,39,8.0,2,consistency,1,1,0
33,59,female,57.9,181,1.9,17628,40,8.8,3,consistency,2,0,0
34,74,male,72.3,149,2.65,11254,43,8.0,2,consistency,2,1,0
35,63,female,71.7,169,2.13,28186,49,7.6,3,consistency,3,0,0
36,67,male,65.3,196,1.02,28394,57,9.5,3,consistency,3,1,0
37,76,female,77.7,191,2.0,21764,44,6.8,3,consistency,2,0,0
38,15,female,78.8,157,1.97,16067,92,9.4,5,habits,3,0,1
39,63,male,56.1,199,2.42,16506,49,9.4,3,habits,2,1,1
40,19,male,71.5,163,1.37,13133,44,8.6,2,performance,2,1,2
41,33,male,53.8,191,3.25,24859,69,7.3,4,habits,3,1,1
42,85,male,81.8,148,1.94,3565,56,7.3,1,consistency,1,1,0
43,51,female,72.6,170,2.08,12690,76,5.9,2,consistency,2,0,0
44,30,male,71.2,154,2.66,13278,77,6.7,2,performance,2,1,2
45,16,male,79.9,143,2.87,13613,30,7.8,2,habits,2,1,1
46,72,male,65.9,179,2.59,15947,64,6.0,4,habits,2,1,1
